,0
2010-02-26,0.0006282086576830791
2010-03-31,7.330417038439044e-05
2010-04-30,5.958617498132541e-05
2010-05-28,0.0027857280194034948
2010-06-30,0.0003766454457236455
2010-07-30,0.0003093376870453175
2010-08-31,0.0006361213720153169
2010-09-30,0.00033457207384042785
2010-10-29,0.0006937271998229544
2010-11-30,0.0004312764468991833
2010-12-31,0.00016485631827493425
2011-01-31,0.0007093826783074126
2011-02-28,0.0005513768397120678
2011-03-31,0.00010810612119103184
2011-04-29,5.236669004504152e-05
2011-05-31,0.00017266080461173132
2011-06-30,0.0004866825341696569
2011-07-29,7.267660236051144e-05
2011-08-31,0.0005112218615824826
2011-09-30,0.0009007601583872578
2011-10-31,0.0012291463614259094
2011-11-30,0.0011270804323504561
2011-12-30,0.00025767600413068405
2012-01-31,0.0018240792475290295
2012-02-29,0.000797587780934893
2012-03-30,0.0007859766050052341
2012-04-30,0.0007333419656405201
2012-05-31,0.0009252798741071916
2012-06-29,0.00030761611812284075
2012-07-31,0.0012775201752133437
2012-08-31,6.699051415579915e-05
2012-09-28,0.0011166420815447943
2012-10-31,0.0005336837146086521
2012-11-30,0.0017664433468541595
2012-12-31,0.0003998316048376349
2013-01-31,0.0015453318652754184
2013-02-28,9.642163604255627e-05
2013-03-28,0.0013635941872722926
2013-04-30,0.0002622095268549339
2013-05-31,0.0014328043966705547
2013-06-28,0.0017737224805320284
2013-07-31,0.0016458015365309266
2013-08-30,0.00033630346236393434
2013-09-30,0.001085989643940133
2013-10-31,0.0010745281570790533
2013-11-29,5.475299435671598e-05
2013-12-31,0.00029818395232282535
2014-01-31,9.08145575685147e-05
2014-02-28,6.463261861410504e-05
2014-03-31,0.0008910606763571127
2014-04-30,0.00090129379692944
2014-05-30,0.0015586728086725747
2014-06-30,0.0014595396833470733
2014-07-31,0.000488068082582277
2014-08-29,0.000710488493931339
2014-09-30,0.0015132539182220787
2014-10-31,0.0008311632847392941
2014-11-28,0.0004552993094001155
2014-12-31,0.0006297138018270551
2015-01-30,0.0006531877303268335
2015-02-27,0.00013568801878598592
2015-03-31,0.0005846560457266925
2015-04-30,0.0007486483537355163
2015-05-29,0.0007733481195146407
2015-06-30,0.0007850593331231323
2015-07-31,7.818731785178519e-05
2015-08-31,0.001113283788336471
2015-09-30,0.001045725794401129
2015-10-30,0.0006708319114499015
2015-11-30,0.0018565354892203004
2015-12-31,0.0019234705618629813
2016-01-29,0.0025398965897303737
2016-02-29,0.0018874451066194227
2016-03-31,0.0018814859487146596
2016-04-29,0.0014768232572249876
2016-05-31,0.0006087167937480542
2016-06-30,0.0004983307225693061
2016-07-29,0.00011434324646302066
2016-08-31,0.0014270706409255701
2016-09-30,8.908487618934633e-05
2016-10-31,0.0009352839831436915
2016-11-30,0.00040959271029871613
2016-12-30,0.0013429663184053905
2017-01-31,0.0016867330770178107
2017-02-28,0.0007808880644087648
2017-03-31,0.0004175845708830301
2017-04-28,0.0004061704604879507
2017-05-31,0.00041941187991638966
2017-06-30,0.0014584448040088449
