,TSMOM
2009-05-29,-0.1384786276314166
2009-06-30,0.0031900411683027027
2009-07-31,-0.030775393914257414
2009-08-31,0.0008507407348266377
2009-09-30,0.02881758134606202
2009-10-30,-0.0012466859391655426
2009-11-30,0.10511764307019207
2009-12-31,-0.03485433767663075
2010-01-29,-0.0624625498832649
2010-02-26,0.013222688430224817
2010-03-31,0.035093491802939705
2010-04-30,0.012835880557944152
2010-05-28,-0.12465200545060384
2010-06-30,0.026058182093737503
2010-07-30,-0.0004265533169293339
2010-08-31,0.07837819799292017
2010-09-30,0.04859914034268621
2010-10-29,0.028713880091062335
2010-11-30,0.0211864774925315
2010-12-31,0.038581194857757156
2011-01-31,-0.035060279052772536
2011-02-28,0.06801993422247923
2011-03-31,0.028934062979681638
2011-04-29,0.1271182756888296
2011-05-31,-0.03362225245592471
2011-06-30,-0.029555018097634365
2011-07-29,0.04927798868495215
2011-08-31,-0.01967054055925842
2011-09-30,-0.1802785695546705
2011-10-31,0.0532142774590242
2011-11-30,-0.0054406265968339656
2011-12-30,-0.009044130865735323
2012-01-31,0.04834154396892778
2012-02-29,-0.05921380876530172
2012-03-30,-0.017490134330362773
2012-04-30,0.04715123436184261
2012-05-31,0.10353958145815673
2012-06-29,-0.02302304525033424
2012-07-31,0.0446688224848369
2012-08-31,-0.03947913414197665
2012-09-28,-0.028002824994743457
2012-10-31,-0.0015274893138076254
2012-11-30,0.008164487868910593
2012-12-31,0.016531260044790785
2013-01-31,0.02187597279773317
2013-02-28,0.01394470385409509
2013-03-28,0.0059753192156011894
2013-04-30,0.06420008229517213
2013-05-31,-0.01105211236760198
2013-06-28,-0.024978538113487485
2013-07-31,0.05092575997569103
2013-08-30,-0.03090071818989132
2013-09-30,0.06627108213669056
2013-10-31,0.003173047231581988
2013-11-29,0.04471077964127799
2013-12-31,0.04178888803787102
2014-01-31,-0.05699002873741361
2014-02-28,0.003555404836905578
2014-03-31,0.006106939378499049
2014-04-30,-0.0017108897942909483
2014-05-30,-0.017379761702977253
2014-06-30,0.005012270563185485
2014-07-31,-0.04016988508711681
2014-08-29,0.023635077824391736
2014-09-30,-0.018219335309400102
2014-10-31,0.058859800354545945
2014-11-28,0.06526878532437769
2014-12-31,0.042718760483039984
2015-01-30,0.0894721729510709
2015-02-27,-0.0027329621589628613
2015-03-31,0.039651775395042124
2015-04-30,-0.030830831208716592
2015-05-29,0.024151913210808403
2015-06-30,-0.042279200781740967
2015-07-31,0.07765184971829754
2015-08-31,-0.02659170524600649
2015-09-30,0.010190143011110696
2015-10-30,-0.0021446337857329405
2015-11-30,0.053998471565237405
2015-12-31,-0.013310027902524587
2016-01-29,-0.02167649306632181
2016-02-29,-0.06852089795745679
2016-03-31,-0.0972134167308874
2016-04-29,-0.019631156758836737
2016-05-31,-0.024502865092516302
2016-06-30,0.08433196645669915
2016-07-29,0.029807354646584204
2016-08-31,-0.030886664637504887
2016-09-30,0.0031815354951552147
2016-10-31,-0.057947361414685296
2016-11-30,-0.09390138068941341
2016-12-30,-0.0037922343648630354
2017-01-31,0.018177676649445133
2017-02-28,0.03568513119279653
2017-03-31,-0.0005123072480583473
2017-04-28,-0.008571127089320505
2017-05-31,-0.007247132686639552
2017-06-30,-0.004165818079908732
2017-07-31,0.006176303674443044
2017-08-31,-0.021366728557963555
2017-09-29,0.045464475673485216
2017-10-31,0.0056917077818542
2017-11-30,0.02438319628203871
2017-12-29,0.033687672209905234
2018-01-31,0.06466435284750487
2018-02-28,-0.07239039974055747
2018-03-29,0.008010602951742182
2018-04-30,-0.019779624349359457
2018-05-31,-0.00809660736048782
2018-06-29,-0.02370432813631736
2018-07-31,0.009160089397769373
2018-08-31,0.017310866162354548
2018-09-28,0.024146579541841722
2018-10-31,-0.03342202050712789
2018-11-30,-0.01863248692820385
2018-12-31,-0.06471905510893543
2019-01-31,-0.06359499020130055
2019-02-28,-0.0027554439767410047
2019-03-29,0.048364584541125175
2019-04-30,0.002019231770165033
2019-05-31,0.03490593195585589
2019-06-28,-0.036130644129482706
2019-07-31,0.018154652145419864
2019-08-30,0.07948200911833411
2019-09-30,-0.03428953583299029
2019-10-31,-0.019858934897499948
2019-11-29,-0.004532977567553457
2019-12-31,0.02428062052155258
2020-01-31,0.018534526185131798
2020-02-28,-0.03148343987638345
2020-03-31,-0.06933702802117295
2020-04-30,0.03030728282331332
2020-05-29,-0.05984047063051549
2020-06-30,-0.017298949134192873
2020-07-31,0.03048627836950096
2020-08-31,-0.011875891984178476
2020-09-30,-0.04066142637794556
2020-10-30,-0.014223459054855345
2020-11-30,-0.005651894726683161
2020-12-31,0.033006205007301795
2021-01-29,-0.03258688021163735
2021-02-26,-0.05313577731451676
2021-03-31,-0.06035404341270406
2021-04-30,0.049915983584044706
2021-05-28,0.04258568102686713
2021-06-30,-0.02905911600086959
2021-07-30,-0.018467800175569784
2021-08-31,0.007180755141741241
